Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.03     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::~_Guard()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2025 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 33.32% of 0.03 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    0.03                 main [1]
                0.00    0.03       1/1           init(std::pmr::monotonic_buffer_resource&, hyper::Stack_arena&) [2]
                0.00    0.00       1/2           std::pmr::monotonic_buffer_resource::monotonic_buffer_resource(void*, unsigned long, std::pmr::memory_resource*) [89]
                0.00    0.00       1/1           hyper::Stack_arena::Stack_arena(hyper::Stack_arena_arguments const&) [102]
                0.00    0.00       1/1           quit() [100]
                0.00    0.00       1/1           run() [99]
                0.00    0.00       1/1           hyper::Stack_arena::~Stack_arena() [103]
-----------------------------------------------
                0.00    0.03       1/1           main [1]
[2]    100.0    0.00    0.03       1         init(std::pmr::monotonic_buffer_resource&, hyper::Stack_arena&) [2]
                0.00    0.02       1/1           std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::operator=(std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >&&) [6]
                0.00    0.01       1/1           std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::resize(unsigned long, unsigned int const&) [15]
                0.00    0.00    2048/2048        float std::uniform_real_distribution<float>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&) [46]
